"","marca","modelo","pvp","cilindro","cc","potencia","rpm","peso","plazas","cons90","cons120","consurb","velocida","acel2"
"84","12","Frontera 2.2 16V 5p",3833000,4,2198,136,5200,1696,5,7.6,10.5,12,161,"2"
"85","12","Frontera Sport 2.8 T",3886000,4,2771,113,3600,1803,5,7.4,10.5,12,149,"2"
"86","12","Frontera 2.8 TDi 5p",4122000,4,2771,113,3600,1828,5,7.1,10.5,9.5,149,"2"
"87","12","Monterey 3.2i V6 24V",4866000,6,3165,177,5200,1920,5,7.4,11,9.8,173,"2"
"88","12","Monterey 3.2i V6 24V",4886000,6,3165,177,5200,1795,4,10.6,14.6,18.1,173,"2"
"89","12","Monterey 3.1 TD 3p",4886000,4,3059,114,3600,1900,4,10.6,14.6,18.1,150,"2"
"90","12","Monterey 3.1 TD 5p",4886000,4,3059,114,3600,1985,5,10.1,16.2,12.4,150,"2"
"91","13","Korando K4 D",2295000,4,2238,68,4300,1590,4,7.5,8.88,12.7,142,"2"
"92","13","Family RV",2832500,4,2498,79,4500,1690,7,8.5,13.2,12.9,135,"2"
"93","13","Musso 602 STD",3395000,4,2874,95,4000,1755,5,8,12.3,11.6,145,"2"
"94","13","Musso 602 LUX",3995000,4,2874,95,4000,1755,5,8,12.3,11.6,145,"2"
"95","14","Samurai Corto T lona",1367000,4,1298,69,6000,930,4,7.9,8.4,8.9,130,"2"
"96","14","Samurai Corto T met",1455000,4,1298,69,6000,950,4,7.9,8.4,8.9,130,"2"
"97","14","Samurai Corto T duro",1488700,4,1298,69,6000,950,4,7.9,8.4,8.9,130,"2"
"98","14","Samurai Longb. T dur",1587500,4,1298,69,6000,1040,4,7.9,8.4,8.9,130,"2"
"99","14","Vitara Xaloc t. lona",1820000,4,1590,81,5400,1035,4,7.8,10.9,10.1,144,"2"
"100","14","Vitara Xaloc t. met",1926300,4,1590,81,5400,1045,4,7.8,10.9,10.1,144,"2"
"101","14","Vitara Xaloc Hard To",2040000,4,1590,81,5400,1065,4,7.8,10.9,10.1,144,"2"
"102","14","Vitara Xaloc 16V T.",2238000,4,1590,95,5600,1105,4,7.8,10.9,10.1,144,"2"
"103","14","Vitara Xaloc 16V t.m",2280400,4,1590,95,5600,1115,4,7.8,10.9,10.1,144,"2"
"104","14","Vitara Xaloc 16V Har",2343000,4,1590,95,5600,1135,4,7.8,10.9,10.1,144,"2"
"105","14","Vitara Xaloc r. anch",2430000,4,1590,95,5600,1165,4,9.6,11.4,9.8,144,"2"
"106","14","Vitara Xaloc r. anch",2492300,4,1590,95,5600,1175,4,9.6,11.4,9.8,144,"2"
"107","14","Vitara Wagon Xaloc t",2442100,4,1590,95,5600,1195,4,7.7,10.4,10.7,148,"2"
"108","14","Vitara Wagon Calox t",2629500,4,1590,95,5600,1195,5,7.7,10.4,10.7,148,"2"
"109","14","Vitara Wagon V6",3340000,6,1998,136,6500,1310,5,8.2,10.6,12.9,160,"2"
"110","14","Vitara Wagon V6 supe",3630000,6,1998,136,6500,1310,5,8.2,10.6,12.9,160,"2"
"111","14","Vitara Diesel Techo",2341000,4,1905,68,4600,1277,4,6.7,8.4,8.1,140,"2"
"112","14","Vitara Diesel Techo",2472000,4,1905,68,4600,1277,4,6.7,8.4,8.1,140,"2"
"113","14","Vitara Diesel Hard T",2535000,4,1905,68,4600,1277,4,6.7,8.4,8.1,140,"2"
"114","15","TelcoLine pick-up",1699400,4,1948,68,4500,1615,2,8.3,9,10.2,135,"2"
"115","15","TelcoSport",2075240,4,1948,68,4500,1615,5,8.3,9,10.2,135,"2"
"116","16","Rav4",3158504,4,1998,129,5600,1150,4,7.1,9.7,10.4,170,"2"
"117","16","Rav4 5p",3445389,4,1998,129,5600,1220,5,7.1,9.7,10.4,170,"2"
"118","16","4 Runner V6",4258914,6,2959,143,4600,1850,5,10.7,15.5,16.1,165,"2"
"119","16","4 Runner 3.0 TD",4467917,4,2982,125,3600,1905,5,9.1,13.6,11.8,164,"2"
"120","16","4 Runner 3.0 TD VX",4793750,4,2982,125,3600,1905,5,9.1,13.6,11.8,165,"2"
"121","16","Land Cruiser HDJ80 V",8244800,6,4164,170,3600,2320,8,9.1,13.5,11,170,"2"
"122","17","Marathon Base",1733261,4,2498,76,4500,1590,7,8.55,12.57,11.8,120,"2"
"123","17","Marathon LX",1898652,4,2498,76,4500,1590,7,8.55,12.57,11.8,120,"2"
"124","17","Marathon Base Hard T",1933261,4,2498,76,4500,1590,7,8.55,12.57,11.8,120,"2"
"125","17","Marathon LX Hard Top",2098652,4,2498,76,4500,1590,7,8.55,12.57,11.8,120,"2"
