"","marca","modelo","pvp","cilindro","cc","potencia","rpm","peso","plazas","cons90","cons120","consurb","velocida","acel2"
"1","1","Rocsta 1.8",-0.892701327147815,"4",-1.1291540272473,-0.853871325810507,1.15792271513277,-1.37792132730885,"4",0.0987690406253271,-1.21620817450214,-0.182236251679425,0.580286941396851,"2"
"2","1","Rocsta 2.2 DX techo",-0.950848465242228,"4",-0.557936428270479,-1.19989150148185,-0.587787669269926,-1.22706636136714,"4",-0.59018911105804,-1.21620817450214,-0.182236251679425,-1.22558528286721,"2"
"3","1","Rocsta 2.2 DX techo",-0.892701327147815,"4",-0.557936428270479,-1.19989150148185,-0.587787669269926,-1.22706636136714,"4",-0.59018911105804,-1.21620817450214,-0.182236251679425,-1.22558528286721,"2"
"4","2","Blazer Aut.",0.382157529760147,"6",2.50205455764077,2.02075782592063,-0.378302423141603,0.718962699280913,"5",0.512143931635347,0.19660721203497,1.08996842185054,1.78420175757289,"2"
"5","3","Feroza SX 16V",-0.676542823339525,"4",-1.41837812799505,-0.587701959909476,1.85620686889385,-1.28740834774383,"4",-0.865772371731387,-0.113414973098565,-0.712321532316911,-0.0216704666911696,"2"
"6","4","Maverick 2.4 GLX 5p",0.23559889562174,"4",-0.26148172500403,0.184189201203513,0.738952222876124,0.221141311673271,"7",-0.107918404879683,0.0637405612634553,0.277170991539729,0.580286941396851,"2"
"7","4","Maverick 2.7 TD GL 3",-0.305223106410127,"4",0.134755293020394,-0.45461727695896,-0.936929746150466,0.2060558150791,"5",-0.934668186899723,-0.157703856689069,-0.782999569735242,-0.62362787477919,"2"
"8","4","Maverick 2.7 TD GLS",-0.114284040807273,"4",0.134755293020394,-0.45461727695896,-0.936929746150466,0.598278726527546,"5",-0.934668186899723,-0.157703856689069,-0.782999569735242,-0.62362787477919,"2"
"9","4","Maverick 2.7 TD GL 5",-0.0358442084515062,"4",0.134755293020394,-0.45461727695896,-0.936929746150466,0.522851243556691,"7",-0.17681422004802,0.418051629987494,-0.252914289097757,-0.32264917073518,"2"
"10","4","Maverick 2.7 TD GLS",0.187090051928042,"4",0.134755293020394,-0.45461727695896,-0.936929746150466,0.522851243556691,"7",-0.17681422004802,0.418051629987494,-0.252914289097757,-0.32264917073518,"2"
"11","4","Maverick 2.7 TD GLX",0.287204048487376,"4",0.134755293020394,-0.45461727695896,-0.936929746150466,0.522851243556691,"7",-0.17681422004802,0.418051629987494,-0.252914289097757,-0.32264917073518,"2"
"12","4","Explorer 4.0 V6 XLT",0.391446457275961,"6",2.00748134536211,1.03593117208681,-0.657616084646034,1.27712607326524,"5",0.236560670962,0.418051629987494,1.47869762765136,1.18224434948487,"2"
"13","5","Wrangler 2.5 S Techo",-0.757714632487999,"4",-0.153022687223622,0.104338391433204,0.87860905362834,-0.849928946512868,"4",1.20110208331871,1.03809600025456,1.19598547797804,-0.0216704666911696,"2"
"14","5","Wrangler 2.5 S Techo",-0.646751684641722,"4",-0.153022687223622,0.104338391433204,0.87860905362834,-0.925356429483723,"4",1.20110208331871,1.03809600025456,1.19598547797804,-0.0216704666911696,"2"
"15","5","Wrangler 4.0",-0.388897765472584,"6",2.01037358636959,1.70135458683939,-0.992792478451352,-0.668902987382816,"4",1.5455811591604,1.48098483615961,2.43285113279883,1.18224434948487,"1"
"16","5","Cherokee 2.5 Jambore",-0.125598470573064,"4",-0.153022687223622,0.130955328023307,0.87860905362834,-0.533133518035277,"5",1.20110208331871,1.03809600025456,1.19598547797804,-0.0216704666911696,"2"
"17","5","Cherokee 4.0 Jambore",-0.0482583440248636,"6",2.01037358636959,1.7812053966097,0.110496484491153,-0.533133518035277,"5",0.925518822645367,0.772362698711534,2.11479996441634,1.78420175757289,"2"
"18","5","Cherokee 2.5 TD 3p",-0.133046126234632,"4",-0.102408469592765,-0.0553632281074144,-0.936929746150466,-0.683988483976987,"5",-1.21025144757307,-0.733459343365634,-0.95969466328107,0.700678423014455,"2"
"19","5","Cherokee 2.5 TD Jamb",-0.4503620827932,"4",-0.102408469592765,-0.0553632281074144,-0.936929746150466,-0.623646497600303,"5",-1.21025144757307,-0.733459343365634,-0.95969466328107,0.700678423014455,"2"
"20","5","Grand Cherokee 4.0 L",0.387357781014417,"6",2.01037358636959,1.8078223331998,0.0406680691150451,-0.0866028188478166,"5",0.925518822645367,0.772362698711534,2.11479996441634,1.78420175757289,"2"
"21","5","Grand Cherokee Limit",1.22514060310853,"8",3.82670093906549,2.52647962113258,0.110496484491153,-0.0866028188478166,"5",1.33889371365539,1.21525153461658,2.50352917021717,1.78420175757289,"1"
"22","5","Grand Cherokee 2.5 T",0.416483213240253,"4",-0.102408469592765,-0.0553632281074144,-1.07658657690268,0.296568794644126,"5",-0.659084926226376,-0.290570507460584,-0.0762191955519282,0.580286941396851,"2"
"23","6","Sportage 2.0i",-0.662330764240329,"4",-0.826914841965891,-0.481234213549064,0.459638561371693,-0.554253213267117,"5",0.305456486130338,0.152318328444465,0.34784902895806,-0.202257689117576,"2"
"24","6","Sportage 2.0i 16V",-0.610725611374693,"4",-0.826914841965891,0.476975503694647,1.85620686889385,-0.493911226890433,"5",-0.245710035216356,-0.113414973098565,0.171153935412231,1.06185286786727,"2"
"25","7","Niva 1.7i",-1.3015266370769,"4",-1.27231995711743,-0.986956008761022,0.738952222876124,-1.43826331368554,"5",-0.17681422004802,-0.0691260895080598,-0.676982513607745,-0.804215097205596,"2"
